location,Amount (1 of empty),Category,Sub-category,Name 1 deutsch,Name 2 deutsch,Name 1 Englisch,Name 2 Englisch,Check again,Comment
Fach unten,,Screw Drivers,Handle,Steckgriff lang,,Drive handle(long),,x,what is that?
Fach unten,,Screw Drivers,Electric Srewdriver,Akkuschrauber Koffer Bosch,,Cordless screwdriver box (Bosch),,,
Fach unten,,Woodwork,Saws,Akku Stichsäge (Makita),,Cordless Jigsaw (Makita),,,
Fach unten,,Woodwork,Blade,Stichsägenblätter Satz,,Jigsaw blade set,,,
Fach unten,,Woodwork,Saws,Säbelsäge,,sawzall,recipro saw,x,Haven‘t seen this yet
Fach unten,,Woodwork,Blade,Säbelsägenblätter,,sawzall blades,repcipro saw blades,x,
Fach unten,,Woodwork,Saws,Multicutter Koffer Bosch,,Plunge cutter Bosch,,,
Fach unten,,,,,MultiCutter,,,,
Fach unten,,Household,,Kabel/ Metall Sucher,Metalldetektor,Cable tracker,Metal detector,,
Oben drauf,,Painting,,Malerpapier,,Painter Masking Paper,,x,
Links daneben,,Household,,Bügelbrett,,ironing board,,,
Links daneben,,Bicycle,,Fahrradmontage Ständer,,Bike Reparing Stand,,,
Links daneben,,Household,,Kärcher Dampfreiniger,,Kärcher steam cleaner,,,
